1 , 6 , 11
2 , 99 , 15
3 , 213 , 25
4 , 324 , 6
5 , 383 , 22
6 , 443 , 8
7 , 759 , 17
8 , 812 , 8
9 , 867 , 17
10 , 975 , 10
11 , 1007 , 7
12 , 595 , 15
13 , 798 , 24
14 , 939 , 22
15 , 149 , 16
16 , 292 , 22
17 , 907 , 33
18 , 457 , 32
19 , 839 , 35
20 , 28 , 51
21 , 326 , 47
22 , 725 , 47
23 , 995 , 54
24 , 265 , 65
25 , 805 , 70
26 , 759 , 70
27 , 875 , 68
28 , 702 , 68
29 , 377 , 89
30 , 123 , 91
31 , 859 , 92
32 , 153 , 108
33 , 958 , 96
34 , 454 , 86
35 , 318 , 106
36 , 425 , 97
37 , 763 , 107
38 , 230 , 112
39 , 6 , 105
40 , 907 , 111
41 , 267 , 117
42 , 646 , 121
43 , 708 , 128
44 , 948 , 139
45 , 42 , 143
46 , 723 , 153
47 , 86 , 164
48 , 220 , 149
49 , 634 , 158
50 , 352 , 177
51 , 669 , 153
52 , 565 , 157
53 , 1019 , 155
54 , 307 , 165
55 , 767 , 164
56 , 146 , 161
57 , 193 , 175
58 , 428 , 168
59 , 246 , 175
60 , 6 , 170
61 , 693 , 180
62 , 825 , 174
63 , 121 , 174
64 , 592 , 172
65 , 878 , 192
66 , 1008 , 183
67 , 937 , 186
68 , 147 , 196
69 , 439 , 198
70 , 645 , 203
71 , 727 , 214
72 , 793 , 210
73 , 379 , 231
74 , 246 , 219
75 , 597 , 236
76 , 945 , 236
77 , 66 , 261
78 , 670 , 248
79 , 10 , 238
80 , 881 , 236
81 , 328 , 241
82 , 197 , 259
83 , 523 , 260
84 , 302 , 260
85 , 978 , 276
86 , 251 , 258
87 , 846 , 279
88 , 569 , 272
89 , 278 , 261
90 , 444 , 278
91 , 621 , 279
92 , 341 , 282
93 , 92 , 298
94 , 493 , 291
95 , 405 , 293
96 , 714 , 290
97 , 917 , 308
98 , 792 , 309
99 , 156 , 302
100 , 826 , 321
101 , 369 , 332
102 , 948 , 331
103 , 620 , 343
104 , 338 , 343
105 , 515 , 346
106 , 172 , 364
107 , 893 , 353
108 , 996 , 357
109 , 203 , 366
110 , 924 , 362
111 , 398 , 368
112 , 656 , 381
113 , 290 , 371
114 , 812 , 365
115 , 765 , 370
116 , 426 , 396
117 , 92 , 388
118 , 507 , 398
119 , 861 , 397
120 , 995 , 391
121 , 337 , 396
122 , 580 , 413
123 , 747 , 398
124 , 921 , 408
125 , 119 , 416
126 , 175 , 411
127 , 803 , 425
128 , 300 , 412
129 , 625 , 430
130 , 886 , 435
131 , 222 , 431
132 , 858 , 433
133 , 737 , 430
134 , 534 , 445
135 , 298 , 431
136 , 1008 , 444
137 , 710 , 451
138 , 765 , 444
139 , 328 , 453
140 , 481 , 462
141 , 678 , 447
142 , 943 , 449
143 , 583 , 466
144 , 795 , 471
145 , 656 , 475
146 , 237 , 482
147 , 375 , 481
148 , 713 , 484
149 , 436 , 485
150 , 291 , 507
151 , 627 , 493
152 , 47 , 511
153 , 422 , 506
154 , 772 , 515
155 , 739 , 511
156 , 457 , 536
157 , 722 , 532
158 , 660 , 548
159 , 384 , 542
160 , 296 , 561
161 , 773 , 554
162 , 810 , 561
163 , 474 , 564
164 , 533 , 567
165 , 42 , 572
166 , 621 , 586
167 , 260 , 599
168 , 444 , 591
169 , 914 , 602
170 , 383 , 602
171 , 318 , 604
172 , 686 , 607
173 , 428 , 631
174 , 478 , 626
175 , 238 , 627
176 , 714 , 633
177 , 338 , 635
178 , 103 , 642
179 , 524 , 646
180 , 381 , 661
181 , 639 , 666
182 , 572 , 672
183 , 322 , 681
184 , 797 , 699
185 , 409 , 692
186 , 140 , 692
187 , 17 , 705
188 , 635 , 713
189 , 353 , 720
190 , 133 , 717
191 , 510 , 751
192 , 575 , 738
193 , 259 , 755
194 , 8 , 753
195 , 417 , 756
196 , 587 , 780
197 , 366 , 773
198 , 805 , 789
199 , 106 , 785
200 , 289 , 798
201 , 401 , 806
202 , 10 , 814
203 , 447 , 819
204 , 779 , 832
205 , 80 , 851
206 , 530 , 855
207 , 313 , 852
208 , 762 , 873
209 , 706 , 874
210 , 62 , 881
211 , 136 , 885
212 , 295 , 898
213 , 91 , 902
214 , 466 , 899
215 , 424 , 902
216 , 781 , 905
217 , 255 , 901
218 , 730 , 922
219 , 804 , 909
220 , 330 , 929
221 , 121 , 929
222 , 258 , 925
223 , 370 , 942
224 , 765 , 942
225 , 415 , 948
226 , 31 , 954
227 , 273 , 950
228 , 699 , 956
229 , 157 , 960
230 , 210 , 959
231 , 77 , 972
232 , 436 , 982
233 , 661 , 984
234 , 270 , 996
235 , 175 , 986
236 , 36 , 983
237 , 973 , 985
238 , 584 , 1001
239 , 125 , 1000
240 , 332 , 997
241 , 958 , 999
242 , 107 , 1009
243 , 677 , 1012
244 , 310 , 1014
245 , 354 , 1016
246 , 409 , 1019
247 , 878 , 1019
