,nuclei_area,DAPI_Y,DAPI_X,nuclei_eccentricity,slide_scene,cells
HER2B-K172_scene01_cell1,2315,189.63326133909283,2291.7857451403893,0.7564402586116171,HER2B-K172_scene01,1
HER2B-K172_scene01_cell2,3567,230.49985982618446,2292.051023268853,0.8657283132201159,HER2B-K172_scene01,2
HER2B-K172_scene01_cell3,7578,249.3171021377672,504.71377672209024,0.5417266160619387,HER2B-K172_scene01,3
HER2B-K172_scene01_cell4,290,283.1793103448276,1273.2275862068966,0.8663007615993894,HER2B-K172_scene01,4
HER2B-K172_scene01_cell5,107,368.04672897196264,5714.467289719626,0.6875799506446171,HER2B-K172_scene01,5
HER2B-K172_scene01_cell6,470,366.70638297872335,5008.776595744681,0.5843217716950927,HER2B-K172_scene01,6
HER2B-K172_scene01_cell7,1855,610.4312668463613,1371.0037735849055,0.6883179457933449,HER2B-K172_scene01,7
HER2B-K172_scene01_cell8,200,812.78,2823.525,0.917493469848742,HER2B-K172_scene01,8
HER2B-K172_scene01_cell9,583,814.4888507718698,3167.252144082333,0.9291442735944124,HER2B-K172_scene01,9
HER2B-K172_scene01_cell10,207,815.9420289855072,3095.68115942029,0.5761343134054367,HER2B-K172_scene01,10
HER2B-K172_scene01_cell11,788,817.4517766497462,3076.8451776649745,0.7657141334072298,HER2B-K172_scene01,11
HER2B-K172_scene01_cell12,156,821.4487179487178,2658.8141025641025,0.8573464689911586,HER2B-K172_scene01,12
HER2B-K172_scene01_cell13,344,823.3430232558139,2678.1279069767443,0.7867805054639873,HER2B-K172_scene01,13
HER2B-K172_scene01_cell14,323,822.2012383900927,2726.7368421052633,0.9086194588949366,HER2B-K172_scene01,14
HER2B-K172_scene01_cell15,628,824.6926751592357,3003.361464968153,0.9368467464488222,HER2B-K172_scene01,15
HER2B-K172_scene01_cell16,1202,830.8261231281198,2598.0690515806987,0.8068135229426501,HER2B-K172_scene01,16
HER2B-K172_scene01_cell17,1067,836.0093720712277,2516.0187441424555,0.9627909503776853,HER2B-K172_scene01,17
HER2B-K172_scene01_cell18,387,845.6227390180877,3260.245478036177,0.7139073143487077,HER2B-K172_scene01,18
HER2B-K172_scene01_cell19,152,849.875,2458.6973684210525,0.7219756998143848,HER2B-K172_scene01,19
HER2B-K172_scene01_cell20,1115,850.7470852017939,3142.7946188340807,0.6166130063318948,HER2B-K172_scene01,20
HER2B-K172_scene01_cell21,962,856.5966735966736,2574.413721413721,0.520018532686233,HER2B-K172_scene01,21
HER2B-K172_scene01_cell22,785,858.0700636942676,2606.836942675159,0.7787984841524601,HER2B-K172_scene01,22
HER2B-K172_scene01_cell23,484,863.9710743801653,3113.3863636363635,0.6971049775771283,HER2B-K172_scene01,23
HER2B-K172_scene01_cell24,1748,869.1830663615559,2525.379290617849,0.5110217674759917,HER2B-K172_scene01,24
HER2B-K172_scene01_cell25,68,871.3823529411765,2252.7647058823527,0.6934304954649255,HER2B-K172_scene01,25
HER2B-K172_scene01_cell26,366,871.8169398907105,3235.286885245901,0.646049421979823,HER2B-K172_scene01,26
HER2B-K172_scene01_cell28,481,878.2536382536383,3170.3492723492723,0.55515112358478,HER2B-K172_scene01,28
HER2B-K172_scene01_cell29,1033,884.0542110358182,3545.6098741529527,0.6528530749927054,HER2B-K172_scene01,29
HER2B-K172_scene01_cell30,749,885.2296395193591,3034.3471295060085,0.7211408400687317,HER2B-K172_scene01,30
HER2B-K172_scene01_cell31,1062,887.728813559322,2480.831450094162,0.464724189061545,HER2B-K172_scene01,31
HER2B-K172_scene01_cell32,3263,888.2237205026047,2885.272755133313,0.33868582354721444,HER2B-K172_scene01,32
HER2B-K172_scene01_cell33,937,892.3287086446104,3132.589114194237,0.6865789682336184,HER2B-K172_scene01,33
HER2B-K172_scene01_cell34,562,895.0160142348755,3512.0836298932386,0.8561254834412806,HER2B-K172_scene01,34
HER2B-K172_scene01_cell35,274,897.9671532846718,2277.481751824817,0.8734781403875357,HER2B-K172_scene01,35
HER2B-K172_scene01_cell38,119,903.1848739495798,3244.7058823529414,0.6446797556439781,HER2B-K172_scene01,38
HER2B-K172_scene01_cell39,133,904.6616541353385,2330.278195488722,0.545375418268291,HER2B-K172_scene01,39
HER2B-K172_scene01_cell40,220,909.7681818181818,2249.8045454545454,0.4624044240947606,HER2B-K172_scene01,40
HER2B-K172_scene01_cell41,210,911.6666666666664,3211.633333333333,0.6249787812041562,HER2B-K172_scene01,41
HER2B-K172_scene01_cell43,466,918.8412017167384,3195.008583690987,0.7659778658819245,HER2B-K172_scene01,43
HER2B-K172_scene01_cell44,138,917.9130434782608,2459.7391304347825,0.8921559597813538,HER2B-K172_scene01,44
HER2B-K172_scene01_cell45,20,920.15,2188.8,0.5316078929128255,HER2B-K172_scene01,45
HER2B-K172_scene01_cell47,129,925.046511627907,2326.2558139534885,0.5508771810533355,HER2B-K172_scene01,47
HER2B-K172_scene01_cell48,248,929.991935483871,3572.693548387097,0.6999734345922284,HER2B-K172_scene01,48
HER2B-K172_scene01_cell49,218,930.6238532110092,2399.064220183486,0.9162927068282272,HER2B-K172_scene01,49
HER2B-K172_scene01_cell50,307,936.7752442996742,3379.293159609121,0.7920820926767571,HER2B-K172_scene01,50
HER2B-K172_scene01_cell51,907,938.3131201764056,3134.7133406835724,0.7366734147615067,HER2B-K172_scene01,51
HER2B-K172_scene01_cell53,1275,941.0745098039216,3651.6211764705877,0.1416923408788861,HER2B-K172_scene01,53
HER2B-K172_scene01_cell54,299,945.2742474916388,3502.615384615385,0.535611244326766,HER2B-K172_scene01,54
HER2B-K172_scene01_cell55,135,946.6370370370372,2437.733333333333,0.8186581839605355,HER2B-K172_scene01,55
HER2B-K172_scene01_cell59,594,954.1784511784513,3106.5841750841746,0.8758846818081193,HER2B-K172_scene01,59
HER2B-K172_scene01_cell63,693,968.2005772005772,3790.0,0.7939903075614743,HER2B-K172_scene01,63
HER2B-K172_scene01_cell64,353,970.4249291784703,2388.8810198300284,0.9354397734435952,HER2B-K172_scene01,64
HER2B-K172_scene01_cell65,317,966.0220820189273,3431.6056782334385,0.5509983191607879,HER2B-K172_scene01,65
HER2B-K172_scene01_cell66,755,972.3245033112582,3391.8397350993378,0.7762403039403342,HER2B-K172_scene01,66
HER2B-K172_scene01_cell67,676,971.6153846153846,3665.504437869823,0.68816797046501,HER2B-K172_scene01,67
HER2B-K172_scene01_cell68,462,972.9350649350647,2410.4610389610393,0.9428325932451596,HER2B-K172_scene01,68
HER2B-K172_scene01_cell70,341,978.1114369501466,2347.0791788856304,0.7424770439936589,HER2B-K172_scene01,70
HER2B-K172_scene01_cell71,637,980.1993720565148,3345.4976452119317,0.6887075147835088,HER2B-K172_scene01,71
HER2B-K172_scene01_cell72,371,982.1132075471698,3472.3584905660377,0.3501453967801629,HER2B-K172_scene01,72
HER2B-K172_scene01_cell73,837,981.973715651135,3319.227001194743,0.6995363897859328,HER2B-K172_scene01,73
HER2B-K172_scene01_cell74,713,982.9481065918652,3828.6465638148657,0.4957939744584045,HER2B-K172_scene01,74
HER2B-K172_scene01_cell75,586,985.7918088737199,3426.825938566553,0.384752904900465,HER2B-K172_scene01,75
HER2B-K172_scene01_cell76,267,996.370786516854,2068.3295880149813,0.6370730851108064,HER2B-K172_scene01,76
HER2B-K172_scene01_cell83,210,1000.6095238095238,3874.838095238095,0.8153067275490299,HER2B-K172_scene01,83
HER2B-K172_scene01_cell85,723,1002.0013831258644,3270.271092669433,0.8202726210907092,HER2B-K172_scene01,85
HER2B-K172_scene01_cell87,591,1003.954314720812,3772.450084602369,0.9237092726827156,HER2B-K172_scene01,87
HER2B-K172_scene01_cell89,190,1006.2631578947368,3889.6,0.6160617224908158,HER2B-K172_scene01,89
HER2B-K172_scene01_cell93,918,1015.165577342048,3323.72440087146,0.7740912400494132,HER2B-K172_scene01,93
HER2B-K172_scene01_cell99,756,1021.1296296296297,3208.675925925926,0.710865970151345,HER2B-K172_scene01,99
HER2B-K172_scene01_cell108,387,1031.5865633074936,3912.1782945736436,0.4284537863431721,HER2B-K172_scene01,108
HER2B-K172_scene01_cell114,576,1038.8854166666667,3930.684027777778,0.6111617488497072,HER2B-K172_scene01,114
HER2B-K172_scene01_cell116,758,1041.3522427440632,3833.813984168865,0.8151691969066652,HER2B-K172_scene01,116
HER2B-K172_scene01_cell119,260,1042.8653846153843,3957.169230769231,0.5948917521344266,HER2B-K172_scene01,119
HER2B-K172_scene01_cell127,189,1061.4814814814815,3975.328042328042,0.6505546833183597,HER2B-K172_scene01,127
HER2B-K172_scene01_cell135,650,1074.4476923076925,3891.5753846153852,0.6339840834154525,HER2B-K172_scene01,135
HER2B-K172_scene01_cell146,338,1091.4615384615388,1867.8905325443784,0.7850108825938911,HER2B-K172_scene01,146
HER2B-K172_scene01_cell151,526,1095.4961977186313,3862.2338403041826,0.5975643174971825,HER2B-K172_scene01,151
HER2B-K172_scene01_cell173,633,1134.8451816745655,3919.5323854660346,0.6253618889785061,HER2B-K172_scene01,173
HER2B-K172_scene01_cell176,178,1141.3033707865168,1823.308988764045,0.8898132585059447,HER2B-K172_scene01,176
HER2B-K172_scene01_cell192,244,1171.0901639344265,1796.1639344262296,0.7224325353460331,HER2B-K172_scene01,192
HER2B-K172_scene01_cell193,1452,1174.0117079889808,4085.552341597796,0.743168677355956,HER2B-K172_scene01,193
HER2B-K172_scene01_cell196,286,1178.5384615384614,1636.1783216783215,0.6431733247482117,HER2B-K172_scene01,196
HER2B-K172_scene01_cell200,422,1185.4336492890993,4166.687203791469,0.7655013397127851,HER2B-K172_scene01,200
HER2B-K172_scene01_cell204,4873,1187.9468499897391,3889.757438949313,0.7413829300812355,HER2B-K172_scene01,204
HER2B-K172_scene01_cell205,1027,1195.6290165530672,4108.150925024343,0.8404463871733021,HER2B-K172_scene01,205
HER2B-K172_scene01_cell206,51,1199.6078431372548,3962.1960784313733,0.8604351845890689,HER2B-K172_scene01,206
HER2B-K172_scene01_cell207,418,1201.1842105263158,4131.1746411483255,0.8462491651889359,HER2B-K172_scene01,207
HER2B-K172_scene01_cell217,106,1214.7075471698113,3970.169811320755,0.7850271008236214,HER2B-K172_scene01,217
HER2B-K172_scene01_cell224,298,1223.3489932885907,4140.036912751678,0.7166108287794859,HER2B-K172_scene01,224
HER2B-K172_scene01_cell227,959,1227.4098018769553,1549.952033368092,0.9311185635117768,HER2B-K172_scene01,227
HER2B-K172_scene01_cell230,261,1231.7241379310346,4003.7547892720313,0.9470831007046232,HER2B-K172_scene01,230
HER2B-K172_scene01_cell231,247,1234.7368421052631,1757.7935222672065,0.9500541259514992,HER2B-K172_scene01,231
HER2B-K172_scene01_cell232,235,1236.1914893617022,1520.8893617021274,0.8277057915877241,HER2B-K172_scene01,232
HER2B-K172_scene01_cell235,904,1240.655973451327,4276.341814159292,0.2873424158730962,HER2B-K172_scene01,235
HER2B-K172_scene01_cell243,211,1258.5450236966824,4067.7298578199047,0.4416864693062363,HER2B-K172_scene01,243
HER2B-K172_scene01_cell246,826,1264.2046004842614,4224.964891041162,0.7098027723419711,HER2B-K172_scene01,246
HER2B-K172_scene01_cell249,178,1272.4887640449438,1742.5505617977524,0.967073503459481,HER2B-K172_scene01,249
HER2B-K172_scene01_cell256,319,1282.6708463949844,3979.385579937304,0.6830147850262084,HER2B-K172_scene01,256
HER2B-K172_scene01_cell257,774,1284.1020671834626,4208.6485788113705,0.8683186397295513,HER2B-K172_scene01,257
HER2B-K172_scene01_cell262,347,1288.7838616714698,1780.4985590778101,0.9491910662938148,HER2B-K172_scene01,262
HER2B-K172_scene01_cell267,185,1292.1513513513514,4010.3081081081077,0.6857433245758968,HER2B-K172_scene01,267
HER2B-K172_scene01_cell268,554,1295.768953068592,4241.424187725632,0.6901750838461754,HER2B-K172_scene01,268
