,nuclei_area,DAPI_Y,DAPI_X,nuclei_eccentricity,slide_scene,cells
Her2B-K153_scene02_cell14918,932,7259.553648068671,3882.18347639485,0.4872653076001137,Her2B-K153_scene02,14918
Her2B-K153_scene02_cell14921,161,7264.229813664596,4536.130434782609,0.4348511532149415,Her2B-K153_scene02,14921
Her2B-K153_scene02_cell14922,939,7264.899893503727,3849.6815761448347,0.3768201839880448,Her2B-K153_scene02,14922
Her2B-K153_scene02_cell14923,381,7266.099737532809,5146.46719160105,0.6301257902923156,Her2B-K153_scene02,14923
Her2B-K153_scene02_cell14925,337,7267.448071216618,4079.910979228487,0.9671659330115706,Her2B-K153_scene02,14925
Her2B-K153_scene02_cell14926,267,7269.404494382023,3930.573033707865,0.5823935868869756,Her2B-K153_scene02,14926
Her2B-K153_scene02_cell14927,621,7272.713365539453,4003.766505636071,0.6737381276244895,Her2B-K153_scene02,14927
Her2B-K153_scene02_cell14928,422,7272.682464454975,3983.090047393365,0.5965550831742829,Her2B-K153_scene02,14928
Her2B-K153_scene02_cell14929,167,7275.305389221557,4310.586826347306,0.9499048996512216,Her2B-K153_scene02,14929
Her2B-K153_scene02_cell14930,594,7279.904040404041,3754.417508417509,0.6088437797595656,Her2B-K153_scene02,14930
Her2B-K153_scene02_cell14931,760,7281.475,3648.257894736842,0.5952604092620887,Her2B-K153_scene02,14931
Her2B-K153_scene02_cell14932,817,7285.651162790698,4050.6768665850673,0.3170200650892126,Her2B-K153_scene02,14932
Her2B-K153_scene02_cell14933,692,7288.044797687861,3782.518786127168,0.3568721938555687,Her2B-K153_scene02,14933
Her2B-K153_scene02_cell14934,100,7287.77,4193.49,0.7365213288151367,Her2B-K153_scene02,14934
Her2B-K153_scene02_cell14935,743,7290.8842530282645,3831.734858681023,0.3769477619726542,Her2B-K153_scene02,14935
Her2B-K153_scene02_cell14936,692,7291.828034682081,3901.098265895954,0.39796656305721895,Her2B-K153_scene02,14936
Her2B-K153_scene02_cell14937,707,7292.623762376236,3957.6591230551617,0.3434412425179018,Her2B-K153_scene02,14937
Her2B-K153_scene02_cell14938,230,7299.591304347826,4075.8173913043483,0.45184762558586106,Her2B-K153_scene02,14938
Her2B-K153_scene02_cell14939,513,7302.5828460038965,3872.9454191033137,0.6455142607713958,Her2B-K153_scene02,14939
Her2B-K153_scene02_cell14940,715,7309.320279720279,3934.262937062937,0.5302667279851883,Her2B-K153_scene02,14940
Her2B-K153_scene02_cell14941,342,7313.485380116959,3988.432748538012,0.3889372843929474,Her2B-K153_scene02,14941
Her2B-K153_scene02_cell14942,194,7317.226804123711,3690.5670103092784,0.8452984044681959,Her2B-K153_scene02,14942
Her2B-K153_scene02_cell14943,329,7332.413373860182,5047.24924012158,0.4127860874064496,Her2B-K153_scene02,14943
Her2B-K153_scene03_cell4044,1246,7258.368378812199,4187.825040128411,0.7224159333710872,Her2B-K153_scene03,4044
Her2B-K153_scene03_cell4047,884,7267.307692307691,4061.512443438914,0.8456104439601623,Her2B-K153_scene03,4047
Her2B-K153_scene03_cell4048,233,7271.257510729613,5098.497854077254,0.7582000034586112,Her2B-K153_scene03,4048
Her2B-K153_scene03_cell4049,780,7276.374358974359,4123.025641025641,0.5007283290202854,Her2B-K153_scene03,4049
Her2B-K153_scene03_cell4050,486,7288.351851851852,4177.695473251029,0.5177809709073401,Her2B-K153_scene03,4050
Her2B-K153_scene03_cell4051,1154,7295.1057192374365,4066.427209705373,0.5025777734790082,Her2B-K153_scene03,4051
Her2B-K153_scene03_cell4052,248,7296.354838709676,3856.129032258064,0.7943141360131594,Her2B-K153_scene03,4052
Her2B-K153_scene03_cell4053,1163,7305.462596732588,4151.719690455718,0.8894973349841999,Her2B-K153_scene03,4053
Her2B-K153_scene03_cell4054,585,7311.388034188033,4229.3589743589755,0.7963167259398835,Her2B-K153_scene03,4054
