,nuclei_area,DAPI_Y,DAPI_X,nuclei_eccentricity,slide_scene,cells
Her2b-SD51_scene01_cell2,1470,177.5721088435374,1739.1748299319727,0.7594367590603498,Her2b-SD51_scene01,2
Her2b-SD51_scene01_cell4616,182,7511.8351648351645,5932.571428571428,0.8370809827637239,Her2b-SD51_scene01,4616
Her2b-SD51_scene02_cell1223,43,1314.8139534883721,6731.744186046512,0.4179843257725391,Her2b-SD51_scene02,1223
Her2b-SD51_scene02_cell1603,627,1443.4720893141946,5468.757575757576,0.8899866316301333,Her2b-SD51_scene02,1603
Her2b-SD51_scene02_cell1615,396,1444.9772727272727,5509.6616161616175,0.5981199371477942,Her2b-SD51_scene02,1615
Her2b-SD51_scene02_cell1693,83,1473.4457831325306,5520.180722891566,0.8336733664676097,Her2b-SD51_scene02,1693
Her2b-SD51_scene02_cell1710,553,1477.517179023508,5474.500904159132,0.6426383354640125,Her2b-SD51_scene02,1710
Her2b-SD51_scene02_cell1711,313,1478.1725239616615,5502.220447284344,0.7397360224645011,Her2b-SD51_scene02,1711
Her2b-SD51_scene02_cell1784,291,1498.3058419243987,5529.364261168385,0.7229630354696096,Her2b-SD51_scene02,1784
Her2b-SD51_scene02_cell1813,1593,1506.472693032015,5577.6710608914,0.7296817657929184,Her2b-SD51_scene02,1813
Her2b-SD51_scene02_cell1833,365,1512.1561643835614,5629.761643835616,0.8473111696191388,Her2b-SD51_scene02,1833
Her2b-SD51_scene02_cell1885,851,1529.6545240893067,5527.290246768508,0.8590983093094782,Her2b-SD51_scene02,1885
Her2b-SD51_scene02_cell1916,164,1537.0243902439026,5640.0,0.8792741712363443,Her2b-SD51_scene02,1916
Her2b-SD51_scene02_cell1936,239,1544.1213389121344,5592.828451882846,0.5529399599772348,Her2b-SD51_scene02,1936
Her2b-SD51_scene02_cell1940,398,1546.3165829145728,5675.339195979897,0.6905157191735016,Her2b-SD51_scene02,1940
Her2b-SD51_scene02_cell2125,184,1599.3641304347825,5722.722826086957,0.8264519480422281,Her2b-SD51_scene02,2125
Her2b-SD51_scene02_cell2130,442,1600.6968325791854,5651.074660633484,0.7152633106092628,Her2b-SD51_scene02,2130
Her2b-SD51_scene02_cell2219,216,1631.291666666667,5680.305555555556,0.5920881961536381,Her2b-SD51_scene02,2219
Her2b-SD51_scene02_cell2312,665,1658.3473684210526,5684.281203007518,0.7036603662396462,Her2b-SD51_scene02,2312
Her2b-SD51_scene02_cell2381,1020,1679.7892156862745,5663.009803921568,0.5507303947529928,Her2b-SD51_scene02,2381
Her2b-SD51_scene02_cell2426,599,1694.2520868113522,5701.534223706177,0.7126309516610044,Her2b-SD51_scene02,2426
Her2b-SD51_scene02_cell2451,587,1702.2725724020443,5738.013628620102,0.9088037413850104,Her2b-SD51_scene02,2451
Her2b-SD51_scene02_cell2524,213,1721.1220657276997,5756.530516431925,0.8799200817346245,Her2b-SD51_scene02,2524
Her2b-SD51_scene02_cell2527,430,1720.053488372093,5707.4534883720935,0.8298572853542832,Her2b-SD51_scene02,2527
Her2b-SD51_scene02_cell2594,590,1739.2372881355932,5706.34406779661,0.6498938938362886,Her2b-SD51_scene02,2594
Her2b-SD51_scene02_cell2652,129,1755.7054263565894,5760.263565891473,0.5673685059046443,Her2b-SD51_scene02,2652
Her2b-SD51_scene02_cell2737,304,1778.302631578947,5757.483552631579,0.7639356365776893,Her2b-SD51_scene02,2737
Her2b-SD51_scene02_cell2763,825,1784.5466666666666,5716.724848484849,0.6171268860518829,Her2b-SD51_scene02,2763
Her2b-SD51_scene02_cell2857,100,1808.08,5883.9,0.6717415176381039,Her2b-SD51_scene02,2857
Her2b-SD51_scene02_cell2861,64,1809.03125,5806.828125,0.5012593834910288,Her2b-SD51_scene02,2861
Her2b-SD51_scene02_cell2894,248,1815.536290322581,5776.201612903225,0.7627870669371984,Her2b-SD51_scene02,2894
Her2b-SD51_scene02_cell2901,318,1816.4025157232709,5792.166666666668,0.8317895774427538,Her2b-SD51_scene02,2901
Her2b-SD51_scene02_cell2942,490,1827.0632653061225,7455.051020408163,0.864684415810586,Her2b-SD51_scene02,2942
Her2b-SD51_scene02_cell3011,796,1844.9447236180906,5861.407035175879,0.7248128560604539,Her2b-SD51_scene02,3011
Her2b-SD51_scene02_cell3061,345,1859.272463768116,5878.7884057971005,0.8597374641322519,Her2b-SD51_scene02,3061
Her2b-SD51_scene02_cell3169,847,1885.3341204250296,5831.105076741441,0.6727376245346453,Her2b-SD51_scene02,3169
Her2b-SD51_scene02_cell3259,771,1903.7665369649808,5872.543450064851,0.7083722192379008,Her2b-SD51_scene02,3259
Her2b-SD51_scene02_cell3361,1478,1928.6299052774011,5849.9722598105545,0.6266626575877086,Her2b-SD51_scene02,3361
Her2b-SD51_scene02_cell3449,94,1952.5319148936167,5937.180851063829,0.6100984786465128,Her2b-SD51_scene02,3449
Her2b-SD51_scene02_cell3499,482,1964.8029045643154,5914.744813278008,0.3601586263569956,Her2b-SD51_scene02,3499
