,nuclei_area,DAPI_Y,DAPI_X,nuclei_eccentricity,slide_scene,cells
NP019_scene001_cell1,142,308.72535211267603,19641.598591549297,0.8909553282974937,NP019_scene001,1
NP019_scene001_cell2,48,324.5208333333333,19660.9375,0.77295073162279,NP019_scene001,2
NP019_scene001_cell3,177,328.4180790960452,19617.94350282486,0.4905850647581901,NP019_scene001,3
NP019_scene001_cell4,78,334.52564102564105,19665.46153846154,0.7909579879604414,NP019_scene001,4
NP019_scene001_cell5,159,354.3647798742138,19729.106918239,0.8392895914836251,NP019_scene001,5
NP019_scene001_cell6,235,374.45531914893616,19719.71914893617,0.8539363921469839,NP019_scene001,6
NP019_scene001_cell7,198,384.2878787878788,19746.737373737375,0.9212861511644356,NP019_scene001,7
NP019_scene001_cell8,182,384.8736263736264,19532.0,0.8334500466607521,NP019_scene001,8
NP019_scene001_cell9,66,388.43939393939394,19714.409090909092,0.845158860767708,NP019_scene001,9
NP019_scene001_cell10,72,390.0555555555555,19453.75,0.962606743534462,NP019_scene001,10
NP019_scene001_cell17,676,450.8594674556213,19787.12721893491,0.8930096573303885,NP019_scene001,17
NP019_scene001_cell21,211,490.44549763033183,19761.383886255924,0.8691898043747491,NP019_scene001,21
NP019_scene001_cell22,195,492.26153846153846,19795.42564102564,0.9222268465197544,NP019_scene001,22
NP019_scene001_cell26,307,510.214983713355,19808.16286644951,0.30925189293192706,NP019_scene001,26
NP019_scene001_cell27,297,510.9898989898989,19792.771043771045,0.8347595564992628,NP019_scene001,27
NP019_scene001_cell42,193,636.8549222797927,19891.860103626943,0.7291809223105076,NP019_scene001,42
NP019_scene001_cell46,303,651.6138613861386,19326.211221122117,0.5566553957197053,NP019_scene001,46
NP019_scene001_cell53,276,681.0253623188406,19832.192028985508,0.795688179178877,NP019_scene001,53
NP019_scene001_cell56,332,732.1475903614457,19805.548192771083,0.7640576967232672,NP019_scene001,56
NP019_scene001_cell57,130,733.2615384615384,19292.276923076923,0.8595041804846418,NP019_scene001,57
NP019_scene001_cell58,303,735.1386138613861,19822.323432343233,0.919375334475428,NP019_scene001,58
NP019_scene001_cell68,117,784.1623931623932,19915.33333333333,0.8873581865641634,NP019_scene001,68
NP019_scene001_cell71,74,808.5945945945946,19354.72972972973,0.7866778678932859,NP019_scene001,71
NP019_scene001_cell75,292,821.4520547945206,19315.226027397257,0.7190885636323422,NP019_scene001,75
NP019_scene001_cell80,296,829.722972972973,19301.25337837838,0.9297491057866492,NP019_scene001,80
NP019_scene001_cell83,253,835.8616600790514,19201.49011857708,0.8076237871665095,NP019_scene001,83
NP019_scene001_cell87,46,842.7608695652175,19232.695652173912,0.7466990029822349,NP019_scene001,87
NP019_scene001_cell91,284,845.2288732394368,19316.29577464789,0.8014203972062659,NP019_scene001,91
NP019_scene001_cell92,81,849.6172839506172,19260.44444444444,0.8450788212938477,NP019_scene001,92
NP019_scene001_cell93,223,849.6457399103139,19294.32286995516,0.5404156660387328,NP019_scene001,93
NP019_scene001_cell95,264,857.469696969697,19309.32575757576,0.7776000753849269,NP019_scene001,95
NP019_scene001_cell97,73,855.1780821917807,19233.97260273973,0.8649845938351343,NP019_scene001,97
NP019_scene001_cell101,290,863.1931034482759,19216.21379310345,0.8803579748137309,NP019_scene001,101
NP019_scene001_cell102,345,867.7507246376813,19182.13913043478,0.4881993281320549,NP019_scene001,102
NP019_scene001_cell106,478,869.8974895397487,19849.244769874484,0.8712334754204054,NP019_scene001,106
NP019_scene001_cell107,442,871.2149321266968,19286.46153846154,0.8970393533285372,NP019_scene001,107
NP019_scene001_cell109,85,871.3058823529411,19865.223529411764,0.7753291864980421,NP019_scene001,109
NP019_scene001_cell110,95,873.4631578947368,19160.78947368421,0.8168066162430203,NP019_scene001,110
NP019_scene001_cell111,472,874.103813559322,19201.180084745763,0.6066038145114602,NP019_scene001,111
NP019_scene001_cell112,78,875.5,19884.0,0.4238869548799581,NP019_scene001,112
NP019_scene001_cell114,441,879.7210884353741,19317.426303854874,0.7700365939216738,NP019_scene001,114
NP019_scene001_cell116,399,878.593984962406,19251.002506265664,0.5843757197147352,NP019_scene001,116
NP019_scene001_cell117,293,882.8088737201366,19233.071672354952,0.7685759948991873,NP019_scene001,117
NP019_scene001_cell119,108,885.0277777777777,19146.722222222223,0.6866899069223289,NP019_scene001,119
NP019_scene001_cell121,171,891.0350877192983,19102.12865497076,0.9443473196662968,NP019_scene001,121
NP019_scene001_cell124,453,894.4260485651213,19289.51655629139,0.5998632656778925,NP019_scene001,124
NP019_scene001_cell125,532,891.3890977443608,19160.473684210527,0.6017907752530013,NP019_scene001,125
NP019_scene001_cell128,286,898.506993006993,19194.91958041958,0.5614168481350523,NP019_scene001,128
NP019_scene001_cell133,177,901.5875706214688,19912.090395480227,0.7900469183815182,NP019_scene001,133
NP019_scene001_cell135,257,904.6264591439688,19233.883268482492,0.4830141089022549,NP019_scene001,135
NP019_scene001_cell136,451,912.609756097561,19154.51662971175,0.7602649829548433,NP019_scene001,136
NP019_scene001_cell139,768,913.06640625,19281.95442708333,0.9145950337698044,NP019_scene001,139
NP019_scene001_cell141,148,917.2837837837835,19176.27027027027,0.7497513323867188,NP019_scene001,141
NP019_scene001_cell143,422,928.3981042654027,19106.087677725118,0.8955796760267797,NP019_scene001,143
NP019_scene001_cell146,331,934.4864048338368,19148.719033232628,0.9209281961504696,NP019_scene001,146
NP019_scene001_cell152,314,946.5573248407643,19169.398089171973,0.5641485243029029,NP019_scene001,152
NP019_scene001_cell153,498,949.3795180722893,19200.59638554217,0.3763700606284763,NP019_scene001,153
NP019_scene001_cell160,207,962.7632850241548,19181.6231884058,0.9188704962237264,NP019_scene001,160
NP019_scene001_cell170,99,986.1515151515152,19205.19191919192,0.9763688673173816,NP019_scene001,170
NP019_scene001_cell181,228,1008.4605263157896,20065.828947368416,0.6203262854909803,NP019_scene001,181
NP019_scene001_cell187,68,1013.3529411764706,19167.75,0.7675641954964065,NP019_scene001,187
NP019_scene001_cell194,151,1031.0927152317881,19143.410596026493,0.8724622300383402,NP019_scene001,194
NP019_scene001_cell197,59,1031.8135593220336,19208.508474576272,0.8000316510767285,NP019_scene001,197
NP019_scene001_cell207,102,1054.656862745098,19196.72549019608,0.7289367165817343,NP019_scene001,207
NP019_scene001_cell209,294,1055.1224489795916,20078.306122448983,0.5908798412602609,NP019_scene001,209
NP019_scene001_cell213,147,1074.21768707483,19112.14285714286,0.7853655052411299,NP019_scene001,213
NP019_scene001_cell225,432,1107.5092592592594,19038.52314814815,0.7881654168715417,NP019_scene001,225
NP019_scene001_cell232,211,1114.5545023696682,19097.469194312795,0.6514558675032744,NP019_scene001,232
NP019_scene001_cell236,133,1120.5112781954888,19118.045112781954,0.4737295592484324,NP019_scene001,236
NP019_scene001_cell239,149,1123.8724832214766,19009.147651006708,0.7221706591693025,NP019_scene001,239
NP019_scene001_cell256,119,1146.0168067226891,20063.092436974788,0.6914666962062712,NP019_scene001,256
NP019_scene001_cell257,64,1146.734375,18994.578125,0.6911414429942462,NP019_scene001,257
NP019_scene001_cell273,517,1161.5009671179885,18974.94003868472,0.8517488184305891,NP019_scene001,273
NP019_scene001_cell320,173,1202.4739884393066,18966.127167630057,0.7509576885963578,NP019_scene001,320
NP019_scene001_cell341,71,1222.1830985915492,18930.323943661973,0.7578176036661701,NP019_scene001,341
NP019_scene001_cell353,67,1239.0746268656715,18941.07462686568,0.953715992899542,NP019_scene001,353
NP019_scene001_cell360,446,1246.1255605381164,18911.14349775785,0.7176200548551337,NP019_scene001,360
NP019_scene001_cell387,174,1272.0977011494251,18901.137931034482,0.924152857000494,NP019_scene001,387
NP019_scene001_cell445,192,1322.9479166666667,18885.354166666668,0.6110158276847332,NP019_scene001,445
NP019_scene001_cell483,200,1368.825,18872.5,0.889403247350965,NP019_scene001,483
NP019_scene001_cell548,202,1458.9257425742576,18830.866336633666,0.4885026801124842,NP019_scene001,548
NP019_scene001_cell573,200,1499.75,19915.57,0.7271562495224131,NP019_scene001,573
NP019_scene001_cell582,61,1530.8196721311474,18814.852459016398,0.5120589272741601,NP019_scene001,582
NP019_scene001_cell601,217,1610.8479262672809,19879.95391705069,0.8857800783564262,NP019_scene001,601
NP019_scene001_cell618,176,1691.0568181818182,18726.42613636364,0.7251756335720098,NP019_scene001,618
NP019_scene001_cell654,29,1817.1379310344828,18755.275862068964,0.8724627181735178,NP019_scene001,654
NP019_scene001_cell655,250,1816.64,18775.188,0.7427950801984013,NP019_scene001,655
NP019_scene001_cell680,142,1893.7957746478878,18744.894366197186,0.9654384526290744,NP019_scene001,680
NP019_scene001_cell681,127,1896.393700787401,18717.66141732284,0.8170911487856634,NP019_scene001,681
NP019_scene001_cell692,151,1919.0,18715.602649006618,0.9111812142548502,NP019_scene001,692
NP019_scene001_cell697,70,1938.428571428572,18766.785714285714,0.9016735527921736,NP019_scene001,697
NP019_scene001_cell698,299,1947.5351170568563,19648.956521739132,0.8604417200435023,NP019_scene001,698
NP019_scene001_cell708,201,1969.9402985074628,18761.59701492537,0.941386013451014,NP019_scene001,708
NP019_scene001_cell710,199,1975.0552763819092,19663.954773869347,0.7391806585927321,NP019_scene001,710
NP019_scene001_cell714,134,1981.313432835821,19626.589552238805,0.9651213436945612,NP019_scene001,714
NP019_scene001_cell723,557,2003.0700179533205,19526.81149012568,0.8955319678753337,NP019_scene001,723
NP019_scene001_cell724,77,2002.2207792207791,18730.35064935065,0.9311895815558084,NP019_scene001,724
NP019_scene001_cell730,230,2015.9478260869564,18701.973913043483,0.8594378732135333,NP019_scene001,730
NP019_scene001_cell735,151,2032.4437086092719,18715.64900662252,0.6525168841023263,NP019_scene001,735
NP019_scene001_cell737,304,2033.2631578947367,19445.483552631584,0.6309142954229969,NP019_scene001,737
NP019_scene001_cell738,29,2038.0344827586207,18697.03448275862,0.8633261587894271,NP019_scene001,738
NP019_scene001_cell740,337,2043.2017804154307,19524.507418397625,0.7881223603276452,NP019_scene001,740
NP019_scene001_cell744,179,2051.854748603352,18712.75977653632,0.8748332326559456,NP019_scene001,744
NP019_scene001_cell745,418,2051.9425837320573,19433.23205741627,0.6865233297869994,NP019_scene001,745
NP019_scene001_cell749,266,2062.928571428572,18686.312030075187,0.6578564066507963,NP019_scene001,749
