,nuclei_area,DAPI_Y,DAPI_X,nuclei_eccentricity,slide_scene
NP025B_scene1_cell1,161.0,1315.3602484472046,35222.434782608696,0.8804044953429899,NP025B_scene1
NP025B_scene1_cell2,185.0,1333.7729729729726,35325.11351351351,0.8368519727344573,NP025B_scene1
NP025B_scene1_cell3,60.0,1370.9333333333334,35101.88333333333,0.6923690087042819,NP025B_scene1
NP025B_scene1_cell4,764.0,1372.3010471204186,38575.12303664922,0.932222577514831,NP025B_scene1
NP025B_scene1_cell5,241.0,1426.4107883817428,35934.44813278008,0.9060202516037976,NP025B_scene1
NP025B_scene1_cell6,173.0,1460.6300578034684,35984.988439306355,0.7561534430807475,NP025B_scene1
NP025B_scene1_cell7,295.0,1481.542372881356,35566.389830508466,0.9121194717622276,NP025B_scene1
NP025B_scene1_cell8,332.0,1518.0873493975907,36047.74397590361,0.8313414571890909,NP025B_scene1
NP025B_scene1_cell9,230.0,1522.6869565217391,35882.64347826087,0.6902911297166202,NP025B_scene1
NP025B_scene1_cell10,97.0,1532.0824742268042,35168.463917525776,0.9394273775013724,NP025B_scene1
NP025B_scene1_cell11,344.0,1535.1511627906975,35524.36046511628,0.9585942065991052,NP025B_scene1
NP025B_scene1_cell12,71.0,1540.1549295774646,35367.83098591549,0.7920105966393535,NP025B_scene1
NP025B_scene1_cell13,42.0,1541.095238095238,35673.95238095238,0.4935921568045558,NP025B_scene1
NP025B_scene1_cell14,163.0,1549.4478527607364,35292.607361963186,0.9754928025137878,NP025B_scene1
NP025B_scene1_cell15,116.0,1551.646551724138,34524.18965517241,0.8958802470663766,NP025B_scene1
NP025B_scene1_cell16,223.0,1565.1659192825114,35304.139013452914,0.9218070020667852,NP025B_scene1
NP025B_scene1_cell17,612.0,1569.5816993464052,35663.97385620915,0.8198283638437377,NP025B_scene1
NP025B_scene1_cell18,101.0,1589.6237623762374,35236.445544554466,0.9254739535770926,NP025B_scene1
NP025B_scene1_cell19,568.0,1590.3257042253522,35480.744718309856,0.9383764692421884,NP025B_scene1
NP025B_scene1_cell20,241.0,1593.103734439834,35301.900414937765,0.944553264280914,NP025B_scene1
NP025B_scene1_cell21,604.0,1611.7301324503312,35435.48841059603,0.8518879460133191,NP025B_scene1
NP025B_scene1_cell22,181.0,1626.3922651933701,36128.60220994475,0.9321106501075418,NP025B_scene1
NP025B_scene1_cell23,244.0,1630.7131147540986,35841.13114754098,0.8678142146949536,NP025B_scene1
NP025B_scene1_cell24,36.0,1640.888888888889,35372.27777777778,0.7641628480259226,NP025B_scene1
NP025B_scene1_cell25,41.0,1649.3658536585365,35785.560975609755,0.6358739403999971,NP025B_scene1
NP025B_scene1_cell26,341.0,1651.2551319648096,34777.319648093835,0.9695930343448588,NP025B_scene1
NP025B_scene1_cell27,229.0,1655.9868995633187,36016.427947598255,0.8479901974779757,NP025B_scene1
NP025B_scene1_cell28,571.0,1656.9614711033275,36335.08931698774,0.8002029500398619,NP025B_scene1
