,BMP2,CD31,CD44,ColI,ColIV,PDGFRa,PDPN,Vim,aSMA,AR,EGFR,ER,Ecad,HER2,Ki67,PgR,PCNA,pHH3,pRB,CD20,CD3,CD4,CD45,CD68,CD8,FoxP3,GRNZB,PD1,CK14,CK17,CK19,CK5,CK7,CK8,H3K27,H3K4,LamAC,LamB1,LamB2,CoxIV,Glut1,pAKT,pERK,pS6RP,53BP1,HIF1a,cPARP,gH2AX
global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Her2b-SD51_scene01,,3,2,9,,,16,1.6,5,,2.5,3,5.5,2.5,3,16,8,,3,8,8,4,15,4,9,13,5,10,3,2,1,2,2,0.7,5,4,13,2.5,,,,,,7,,,,
Her2b-SD51_scene02,,3,2,9,,,16,1.6,5,,2.5,3,5.5,2.5,3,16,8,,3,8,8,4,15,4,9,13,5,10,3,2,1,2,2,1,5,4,13,2.5,,,,,,7,,,,
Her2b-SD51_scene03,,3,2,9,,,16,1.6,5,,2.5,3,5.5,2.5,3,16,8,,3,8,8,4,15,4,9,13,5,10,3,2,1,2,2,0.7,5,4,13,2.5,,,,,,7,,,,
Her2b-SD51_scene04,,3,2,9,,,16,1.6,5,,2.5,3,5.5,2.5,3,16,8,,3,8,8,4,15,4,9,13,5,10,3,2,1,2,2,0.7,5,4,13,2.5,,,,,,7,,,,
Her2b-SD51_scene05,,3,2,9,,,16,1.6,5,,2.5,3,5.5,2.5,3,16,8,,3,8,8,4,15,4,9,13,5,10,3,2,1,2,2,0.7,5,4,13,2.5,,,,,,7,,,,
Her2b-SD51_scene06,,3,2,9,,,16,1.6,5,,2.5,3,5.5,2.5,3,16,8,,3,8,8,4,15,4,9,13,5,10,3,2,1,2,2,0.7,5,4,13,2.5,,,,,,7,,,,
Her2b-SD51_scene07,,3,2,9,,,16,1.6,5,,2.5,3,5.5,2.5,3,16,8,,3,8,8,4,15,4,9,13,5,10,3,2,1,2,2,0.7,5,4,13,2.5,,,,,,7,,,,
Her2b-SD51_scene08,,3,2,9,,,16,1.6,5,,2.5,3,5.5,2.5,3,16,8,,3,8,8,4,15,4,9,13,5,10,3,2,1,2,2,0.7,5,4,13,2.5,,,,,,7,,,,
Her2b-SD51_scene09,,3,2,9,,,16,1.6,5,,2.5,3,5.5,2.5,3,16,8,,3,8,8,4,15,4,9,13,5,10,3,2,1,2,2,0.7,5,4,13,2.5,,,,,,7,,,,
Her2b-SD51_scene10,,3,2,9,,,16,1.6,5,,2.5,3,5.5,2.5,3,16,8,,3,8,8,4,15,4,9,13,5,10,3,2,1,2,2,0.7,5,4,13,2.5,,,,,,7,,,,
Her2b-SD51_scene11,,3,2,9,,,16,1.6,5,,2.5,3,5.5,2.5,3,16,8,,3,8,8,4,15,4,9,13,5,10,3,2,1,2,2,0.7,5,4,13,2.5,,,,,,7,,,,
NP001_scene001,,4,4,9,4,,3,2,8,,8,3,5.5,5,3,16,6,,3,9,10,10,15,5,9,13,24,10,6,3,1,2,2,2,5,5,13,2.5,,,,,,7,,,,
NP002_scene001,,4,4,9,4,,5,2,8,,8,3,5.5,5,3,16,6,,3,9,10,10,15,5,9,13,24,10,6,3,1,2,2,2,5,5,13,2.5,,,,,,7,,,,
NP002_scene002,,4,4,9,4,,5,2,8,,8,3,5.5,5,3,16,6,,3,9,8,6,15,4,9,13,24,10,6,3,1,2,2,2,5,5,13,2.5,,,,,,7,,,,
NP002_scene003,,4,4,9,4,,5,2,8,,8,3,5.5,5,3,16,6,,3,9,8,6,15,4,9,13,24,10,6,3,1,2,2,2,5,5,13,2.5,,,,,,7,,,,
NP003_scene001,,4,4,9,4,,5,2,8,,2.5,3,5.5,5,3,16,6,,3,9,8,6,15,4,9,13,24,10,6,3,1,2,2,2,5,5,13,2.5,,,,,,7,,,,
NP003_scene002,,4,4,9,4,,5,2,8,,2.5,3,5.5,5,3,16,6,,3,9,8,6,15,4,9,13,24,10,6,3,1,2,2,2,5,5,13,2.5,,,,,,7,,,,
NP004_scene001,,4,4,9,4,,5,2,8,,2.5,3,5.5,5,3,16,6,,3,9,12,6,15,4,9,13,24,10,6,3,1,2,2,2,5,5,13,2.5,,,,,,7,,,,
NP004_scene002,,4,4,9,4,,5,2,8,,2.5,3,5.5,5,3,16,6,,3,9,12,6,15,4,9,13,24,10,6,3,1,2,2,2,5,5,13,2.5,,,,,,7,,,,
